env,algo,schedule,eval_mode,is_reward_stressor,episodes,reward_mean,reward_std,cvar_shock_05,cvar_shock_25,identity_mean,identity_std,id_drop_pre_to_shock,integrity_drop_pre_to_shock,meaning_drop_pre_to_shock,competence_pre,competence_shock,competence_drop,coherence_pre,coherence_shock,coherence_drop,continuity_pre,continuity_shock,continuity_drop,integrity_pre,integrity_shock,integrity_drop,meaning_pre,meaning_shock,meaning_drop,mad_competence,mad_coherence,mad_continuity,mad_integrity,mad_meaning,collapse_score_shock_mean,collapse_event_shock,collapse_event_threshold,collapse_rate_mean,collapse_rate_pre,collapse_rate_shock,collapse_rate_post,fpr_actual,fpr_target,obs_normalize,suite,algo_family,reward_norm,leaderboard_score
ALE/Pong-v5,a2c,sensor_blackout,deterministic,0.0,120.0,-20.954166666666666,0.08840798732140791,-21.0,-21.0,0.9466610752500595,0.014862443010798771,0.0033976017493739497,0.0032912755387258102,0.00593960210011131,0.5272837949303024,0.5036501739740197,0.02363362095628272,0.9802069519318799,0.9818456797023704,-0.001638727770490291,0.9917726303185855,0.9946228256649492,-0.002850195346363804,0.9929075697372767,0.9896162941985509,0.0032912755387258102,1.0,0.9940603978998886,0.00593960210011131,0.00665465509817086,0.0008973192753053199,0.005656872874733336,0.003994799422711864,0.0,0.9211882329454252,0.8,0.9938119810745901,0.03499999999999999,0.03,0.04,0.035,0.03,0.05,1.0,Atari,On-Policy,0.0,0.8086635913875326
ALE/Pong-v5,ppo,sensor_blackout,deterministic,0.0,120.0,-20.754166666666666,0.46545566009886397,-21.0,-21.0,0.7806545095855114,0.0720008916826698,0.00723135388244472,0.044955041792645464,0.00703117910140798,0.5270692371738379,0.5039056594754221,0.02316357769841577,0.7280169957417135,0.7585495061916238,-0.03053251044991015,0.8397670953638542,0.8395367666058693,0.00023032875798480109,0.8458472433528204,0.8008922015601749,0.044955041792645464,1.0,0.9929688208985918,0.00703117910140798,0.00572607007587726,0.01903953957007143,0.09326348453549407,0.0617673342453234,0.0,0.5730122324984597,0.1,0.954766947253674,0.20083333333333334,0.135,0.2,0.26749999999999996,0.135,0.05,1.0,Atari,On-Policy,0.013874436351023192,0.6714411457246848
ALE/Pong-v5,a2c,sensor_blackout,stochastic,0.0,120.0,-19.618333333333332,1.8979787649283537,-21.0,-21.0,0.6916771884250194,0.07505663521511281,0.00681895276932451,-9.036179984161983e-05,0.00933759499800947,0.5259584137809896,0.5057192381779296,0.02023917560305993,0.21678579806582512,0.21627375317695258,0.00051204488887254,0.9325894450615918,0.9328983617187776,-0.0003089166571858798,0.9515368875578611,0.9516272493577027,-9.036179984161983e-05,1.0,0.9906624050019905,0.00933759499800947,0.0056064215108758,0.00866869268567725,0.0184419262902492,0.01455779765025498,0.0,0.541046272930126,0.0,0.9459912046287704,0.17749999999999996,0.0875,0.0975,0.34750000000000003,0.0875,0.05,1.0,Atari,On-Policy,0.09266967279454273,0.6650729045529421
ALE/Pong-v5,ppo,sensor_blackout,stochastic,0.0,120.0,-20.270833333333332,1.2393040096379335,-21.0,-21.0,0.6680198969787299,0.08370808283043042,0.00810887316056859,-0.0024753087781091434,0.00871102846031311,0.5264821567635536,0.5049380556402753,0.02154410112327828,0.20980843872789615,0.20252149525634205,0.00728694347155405,0.9094464715380625,0.912070151439487,-0.0026236799014246496,0.9331817539299901,0.9356570627080995,-0.0024753087781091434,1.0,0.9912889715396869,0.00871102846031311,0.006346509013704429,0.00929722452555148,0.03997818750553764,0.02675630875879853,0.0,0.341805474077468,0.0,0.9246616290839735,0.18166666666666664,0.1525,0.14250000000000002,0.25,0.1525,0.05,1.0,Atari,On-Policy,0.04740432419932942,0.6317715919682009
ALE/Pong-v5,ppo,trust_violation,deterministic,0.0,120.0,-20.610833333333332,0.6638678503582536,-21.0,-21.0,0.7189728725846273,0.10429766739831163,0.1946709039992598,0.03247243846109046,0.48347268417021283,0.5270175690592328,0.5041783659906516,0.02283920306858121,0.7256381702083435,0.7081292696103917,0.01750890059795178,0.8590013802017327,0.8269855007981605,0.03201587940357219,0.8573609168258871,0.8248884783647966,0.03247243846109046,1.0,0.5165273158297872,0.48347268417021283,0.00572607007587726,0.01903953957007143,0.09326348453549407,0.0617673342453234,0.0,0.6647355901132063,0.2,0.954766947253674,0.19083333333333333,0.16499999999999998,0.2475,0.16,0.16499999999999998,0.05,1.0,Atari,On-Policy,0.023817782402589922,0.6247577472819336
ALE/Pong-v5,a2c,trust_violation,deterministic,0.0,120.0,-20.859166666666667,0.32521009883877916,-21.0,-21.0,0.9085986124682556,0.06218959594356188,0.1214806234182035,0.002195563760628781,0.48386864073150243,0.5273027104098694,0.5034422023155591,0.02386050809431019,0.9800255998301488,0.9836866561360414,-0.0036610563058925897,0.9924774205691307,0.9919203037763891,0.0005571167927414748,0.9928196295454926,0.9906240657848638,0.002195563760628781,1.0,0.5161313592684975,0.48386864073150243,0.00665465509817086,0.0008973192753053199,0.005656872874733336,0.003994799422711864,0.0,0.9381808956352014,0.8,0.9938119810745901,0.29166666666666663,0.035,0.8,0.04,0.035,0.05,1.0,Atari,On-Policy,0.00659035726673596,0.560717790447551
ALE/Pong-v5,ppo,trust_violation,stochastic,0.0,120.0,-20.107499999999998,1.420474578863642,-21.0,-21.0,0.6233270453377565,0.09138867115450863,0.15295832019651429,0.0023602578644723498,0.4834277307623047,0.5265513193350183,0.5051078247840097,0.02144349455100857,0.20860990591203615,0.20898405739685746,-0.0003741514848212801,0.9086401883831255,0.9057294090464131,0.0029107793367124596,0.9335174711700909,0.9311572133056185,0.0023602578644723498,1.0,0.5165722692376953,0.4834277307623047,0.006346509013704429,0.00929722452555148,0.03997818750553764,0.02675630875879853,0.0,0.6306072507043992,0.3,0.9246616290839735,0.25749999999999995,0.1525,0.35,0.26999999999999996,0.1525,0.05,1.0,Atari,On-Policy,0.05873511388599845,0.546640142018666
ALE/Pong-v5,a2c,trust_violation,stochastic,0.0,120.0,-19.6775,1.8365527055256918,-21.0,-21.0,0.6453579240843684,0.08703132820411418,0.14649454055089828,0.00281624931266181,0.4831960778988,0.5258997904677797,0.5059729861258384,0.019926804341941128,0.21723575879620896,0.21540107255657284,0.0018346862396360277,0.9320278565461209,0.928996896369339,0.0030309601767819503,0.952731798847115,0.9499155495344531,0.00281624931266181,1.0,0.5168039221012,0.4831960778988,0.0056064215108758,0.00866869268567725,0.0184419262902492,0.01455779765025498,0.0,0.9072059302127815,0.6,0.9459912046287704,0.3583333333333333,0.1025,0.6224999999999999,0.35,0.1025,0.05,1.0,Atari,On-Policy,0.0885651520406984,0.4814816310525074
ALE/Pong-v5,ppo,valence_inversion,deterministic,1.0,120.0,-6.9191666666666665,19.578845083352462,19.8,20.330000000000002,0.7743363121163477,0.07803252798972879,0.01399720737623005,0.02054585570505929,0.050921161297913145,0.527129428612843,0.550446888133604,-0.02331745952076093,0.7301056019831595,0.7350189958026728,-0.004913393819513209,0.8501895954899215,0.8541790914250308,-0.0039894959351093546,0.8508158297456422,0.830269974040583,0.02054585570505929,1.0,0.9490788387020868,0.050921161297913145,0.00572607007587726,0.01903953957007143,0.09326348453549407,0.0617673342453234,0.0,0.5056597002355728,0.0,0.954766947253674,0.16083333333333333,0.18,0.075,0.22750000000000004,0.18,0.05,1.0,Atari,On-Policy,0.973638570933056,0.8494307573039497
ALE/Pong-v5,a2c,valence_inversion,deterministic,1.0,120.0,-6.999166666666666,19.730874339177603,20.7,20.7,0.9426181737925721,0.02216658443947818,0.022338617070979817,0.04834383472243567,0.05271704082991156,0.5273301883167966,0.5508210668397627,-0.02349087852296614,0.9801447565844226,0.9796364374134902,0.0005083191709324612,0.9906462442748134,0.9899910392939647,0.0006552049808487,0.9919357125496043,0.9435918778271686,0.04834383472243567,1.0,0.9472829591700883,0.05271704082991156,0.00665465509817086,0.0008973192753053199,0.005656872874733336,0.003994799422711864,0.0,0.9234208019448292,0.8,0.9938119810745901,0.29416666666666663,0.0375,0.8,0.045,0.0375,0.05,1.0,Atari,On-Policy,0.9680887963926466,0.7236533150448117
